field,angle,sublattice,ik,ikprime,qx,qy,qz,structure_factor
1.0,25,0,5,4,0.0721013135046797,0.41627712760852453,4.964372876709089e-17,0.06722548249403501
1.0,25,0,5,5,0.0,0.0,0.0,62.240624999978806
1.0,25,0,5,6,0.036050656752339885,-0.02081385638042632,-2.879801296778338e-18,40.942595546588834
1.0,25,0,5,7,0.03605065675233987,0.02081385638042621,2.1568651905532634e-18,41.06545117586685
1.0,25,0,5,8,0.07210131350467973,0.0,-7.229361062250747e-19,16.177104044721105
1.0,25,0,5,9,0.07210131350467973,0.04162771276085242,4.3137303811065145e-18,9.193171839133036
1.0,25,0,5,10,-0.324455910771059,0.1873247074238361,2.5918211671005086e-17,0.027209708687214
1.0,25,0,5,11,-0.288405254018719,0.1665108510434098,2.3038410374226742e-17,0.03984375013386409
1.0,25,0,5,12,-0.324455910771059,0.22895242018468864,3.0954878158336694e-17,0.06800805193422414
1.0,25,0,5,13,-0.288405254018719,0.20813856380426232,2.8075076861558344e-17,0.0440163050249154
1.0,25,0,5,14,-0.288405254018719,0.24976627656511474,3.311174334888993e-17,0.19546574379005613
1.0,25,0,6,0,-0.03605065675233994,0.4370909839889509,5.324646617009432e-17,0.06076086006455058
1.0,25,0,6,1,-5.551115123125783e-17,0.4162771276085247,5.036666487331598e-17,0.02244512315272461
1.0,25,0,6,2,0.036050656752339816,0.39546327122809843,4.748686357653764e-17,0.05957687487637438
1.0,25,0,6,3,-6.938893903907228e-17,0.4579048403693771,5.5403331360647574e-17,0.021907411293911442
1.0,25,0,6,4,0.036050656752339816,0.43709098398895085,5.252353006386923e-17,0.06307894289515156
1.0,25,0,6,5,-0.036050656752339885,0.02081385638042632,2.879801296778338e-18,40.942595546588834
1.0,25,0,6,6,0.0,0.0,0.0,62.240624999978806
1.0,25,0,6,7,-1.3877787807814457e-17,0.04162771276085253,5.0366664873316016e-18,40.65448133515951
1.0,25,0,6,8,0.036050656752339844,0.02081385638042632,2.1568651905532634e-18,41.065451175866805
1.0,25,0,6,9,0.036050656752339844,0.06244156914127874,7.193531677884853e-18,15.723408819798038
1.0,25,0,6,10,-0.3605065675233989,0.20813856380426243,2.8798012967783425e-17,0.04703047955904469
1.0,25,0,6,11,-0.3244559107710589,0.1873247074238361,2.591821167100508e-17,0.027209708687214
1.0,25,0,6,12,-0.3605065675233989,0.24976627656511496,3.383467945511503e-17,0.044915736485705855
1.0,25,0,6,13,-0.3244559107710589,0.22895242018468864,3.095487815833668e-17,0.06800805193422475
1.0,25,0,6,14,-0.3244559107710589,0.27058013294554106,3.599154464566827e-17,0.13628261270672976
1.0,25,0,7,0,-0.03605065675233993,0.3954632712280984,4.820979968276272e-17,0.05679219269634404
1.0,25,0,7,1,-4.163336342344337e-17,0.37464941484767217,4.532999838598438e-17,0.021495873925554604
1.0,25,0,7,2,0.03605065675233983,0.3538355584672459,4.245019708920604e-17,0.04923771706773385
1.0,25,0,7,3,-5.551115123125783e-17,0.4162771276085246,5.036666487331597e-17,0.02244512315272462
1.0,25,0,7,4,0.03605065675233983,0.3954632712280983,4.748686357653763e-17,0.05957687487637442
1.0,25,0,7,5,-0.03605065675233987,-0.02081385638042621,-2.1568651905532634e-18,41.06545117586685
1.0,25,0,7,6,1.3877787807814457e-17,-0.04162771276085253,-5.0366664873316016e-18,40.65448133515951
1.0,25,0,7,7,0.0,0.0,0.0,62.240624999978806
1.0,25,0,7,8,0.03605065675233986,-0.02081385638042621,-2.879801296778338e-18,40.94259554658893
1.0,25,0,7,9,0.03605065675233986,0.02081385638042621,2.156865190553251e-18,41.065451175866855
1.0,25,0,7,10,-0.3605065675233989,0.1665108510434099,2.3761346480451823e-17,0.05522006874490708
1.0,25,0,7,11,-0.3244559107710589,0.14569699466298358,2.088154518367348e-17,0.028383455771188774
1.0,25,0,7,12,-0.3605065675233989,0.20813856380426243,2.879801296778343e-17,0.04703047955904469
1.0,25,0,7,13,-0.3244559107710589,0.1873247074238361,2.591821167100508e-17,0.027209708687214
1.0,25,0,7,14,-0.3244559107710589,0.22895242018468853,3.095487815833667e-17,0.06800805193422418
1.0,25,0,8,0,-0.07210131350467978,0.4162771276085246,5.108960097954106e-17,0.08081188460700271
1.0,25,0,8,1,-0.0360506567523399,0.3954632712280984,4.8209799682762715e-17,0.05679219269634419
1.0,25,0,8,2,-2.7755575615628914e-17,0.3746494148476721,4.532999838598438e-17,0.021495873925554597
1.0,25,0,8,3,-0.03605065675233991,0.4370909839889508,5.324646617009431e-17,0.06076086006455036
1.0,25,0,8,4,-2.7755575615628914e-17,0.41627712760852453,5.0366664873315966e-17,0.022445123152724587
1.0,25,0,8,5,-0.07210131350467973,0.0,7.229361062250747e-19,16.177104044721105
1.0,25,0,8,6,-0.036050656752339844,-0.02081385638042632,-2.1568651905532634e-18,41.065451175866805
1.0,25,0,8,7,-0.03605065675233986,0.02081385638042621,2.879801296778338e-18,40.94259554658893
1.0,25,0,8,8,0.0,0.0,0.0,62.240624999978806
1.0,25,0,8,9,0.0,0.04162771276085242,5.036666487331589e-18,40.65448133515965
1.0,25,0,8,10,-0.3965572242757387,0.1873247074238361,2.664114777723016e-17,0.1838041108996008
1.0,25,0,8,11,-0.3605065675233987,0.1665108510434098,2.3761346480451817e-17,0.05522006874490676
1.0,25,0,8,12,-0.3965572242757387,0.22895242018468864,3.167781426456177e-17,0.05915175210409762
1.0,25,0,8,13,-0.3605065675233987,0.20813856380426232,2.879801296778342e-17,0.047030479559044526
1.0,25,0,8,14,-0.3605065675233987,0.24976627656511474,3.383467945511501e-17,0.0449157364857056
1.0,25,0,9,0,-0.07210131350467978,0.37464941484767217,4.605293449220947e-17,0.08895031743921009
1.0,25,0,9,1,-0.0360506567523399,0.35383555846724596,4.3173133195431126e-17,0.03999785853091269
1.0,25,0,9,2,-2.7755575615628914e-17,0.3330217020868197,4.029333189865279e-17,0.04218750017000862
1.0,25,0,9,3,-0.03605065675233991,0.3954632712280984,4.820979968276272e-17,0.05679219269634396
1.0,25,0,9,4,-2.7755575615628914e-17,0.3746494148476721,4.532999838598438e-17,0.021495873925554597
1.0,25,0,9,5,-0.07210131350467973,-0.04162771276085242,-4.3137303811065145e-18,9.193171839133036
1.0,25,0,9,6,-0.036050656752339844,-0.06244156914127874,-7.193531677884853e-18,15.723408819798038
1.0,25,0,9,7,-0.03605065675233986,-0.02081385638042621,-2.156865190553251e-18,41.065451175866855
1.0,25,0,9,8,0.0,-0.04162771276085242,-5.036666487331589e-18,40.65448133515965
1.0,25,0,9,9,0.0,0.0,0.0,62.240624999978806
1.0,25,0,9,10,-0.3965572242757387,0.1456969946629837,2.1604481289898572e-17,0.06513914987257774
1.0,25,0,9,11,-0.3605065675233987,0.12488313828255737,1.8724679993120228e-17,0.08567207349700966
1.0,25,0,9,12,-0.3965572242757387,0.18732470742383622,2.664114777723018e-17,0.18380411089960075
1.0,25,0,9,13,-0.3605065675233987,0.1665108510434099,2.376134648045183e-17,0.05522006874490674
1.0,25,0,9,14,-0.3605065675233987,0.20813856380426232,2.879801296778342e-17,0.047030479559044526
1.0,25,0,10,0,0.32445591077105895,0.22895242018468848,2.4448453202310898e-17,0.0655977673991004
1.0,25,0,10,1,0.3605065675233988,0.20813856380426227,2.1568651905532554e-17,0.03495317733850304
1.0,25,0,10,2,0.3965572242757387,0.18732470742383603,1.8688850608754213e-17,0.17022076476629178
1.0,25,0,10,3,0.3605065675233988,0.2497662765651147,2.660531839286415e-17,0.041897218258833094
1.0,25,0,10,4,0.3965572242757387,0.22895242018468845,2.3725517096085808e-17,0.05554691658202293
1.0,25,0,10,5,0.324455910771059,-0.1873247074238361,-2.5918211671005086e-17,0.027209708687214
1.0,25,0,10,6,0.3605065675233989,-0.20813856380426243,-2.8798012967783425e-17,0.04703047955904469
1.0,25,0,10,7,0.3605065675233989,-0.1665108510434099,-2.3761346480451823e-17,0.05522006874490708
1.0,25,0,10,8,0.3965572242757387,-0.1873247074238361,-2.664114777723016e-17,0.1838041108996008
1.0,25,0,10,9,0.3965572242757387,-0.1456969946629837,-2.1604481289898572e-17,0.06513914987257774
1.0,25,0,10,10,0.0,0.0,0.0,62.240624999978806
1.0,25,0,10,11,0.03605065675233998,-0.02081385638042632,-2.8798012967783443e-18,40.94259554658877
1.0,25,0,10,12,0.0,0.04162771276085253,5.036666487331608e-18,40.65448133515951
1.0,25,0,10,13,0.03605065675233998,0.02081385638042621,2.1568651905532573e-18,41.0654511758667
1.0,25,0,10,14,0.03605065675233998,0.06244156914127863,7.193531677884846e-18,15.723408819798053
1.0,25,0,11,0,0.28840525401871897,0.2497662765651148,2.7328254499089243e-17,0.18734675568144502
1.0,25,0,11,1,0.32445591077105884,0.2289524201846886,2.4448453202310898e-17,0.06559776739910099
1.0,25,0,11,2,0.3605065675233987,0.20813856380426235,2.1568651905532557e-17,0.034953177338502714
1.0,25,0,11,3,0.32445591077105884,0.270580132945541,2.9485119689642494e-17,0.12374658855400078
1.0,25,0,11,4,0.3605065675233987,0.24976627656511477,2.6605318392864153e-17,0.041897218258833364
1.0,25,0,11,5,0.288405254018719,-0.1665108510434098,-2.3038410374226742e-17,0.03984375013386409
1.0,25,0,11,6,0.3244559107710589,-0.1873247074238361,-2.591821167100508e-17,0.027209708687214
1.0,25,0,11,7,0.3244559107710589,-0.14569699466298358,-2.088154518367348e-17,0.028383455771188774
1.0,25,0,11,8,0.3605065675233987,-0.1665108510434098,-2.3761346480451817e-17,0.05522006874490676
1.0,25,0,11,9,0.3605065675233987,-0.12488313828255737,-1.8724679993120228e-17,0.08567207349700966
1.0,25,0,11,10,-0.03605065675233998,0.02081385638042632,2.8798012967783443e-18,40.94259554658877
1.0,25,0,11,11,0.0,0.0,0.0,62.240624999978806
1.0,25,0,11,12,-0.03605065675233998,0.06244156914127885,7.916467784109952e-18,15.542904655598571
1.0,25,0,11,13,0.0,0.04162771276085253,5.0366664873316016e-18,40.65448133515951
1.0,25,0,11,14,0.0,0.08325542552170495,1.0073332974663191e-17,8.877554893059418
1.0,25,0,12,0,0.32445591077105895,0.18732470742383595,1.941178671497929e-17,0.021875000037627927
1.0,25,0,12,1,0.3605065675233988,0.16651085104340974,1.6531985418200946e-17,0.044018683908685206
1.0,25,0,12,2,0.3965572242757387,0.1456969946629835,1.3652184121422605e-17,0.05835527680022221
1.0,25,0,12,3,0.3605065675233988,0.20813856380426216,2.1568651905532542e-17,0.034953177338503144
1.0,25,0,12,4,0.3965572242757387,0.18732470742383592,1.86888506087542e-17,0.17022076476629167
1.0,25,0,12,5,0.324455910771059,-0.22895242018468864,-3.0954878158336694e-17,0.06800805193422414
1.0,25,0,12,6,0.3605065675233989,-0.24976627656511496,-3.383467945511503e-17,0.044915736485705855
1.0,25,0,12,7,0.3605065675233989,-0.20813856380426243,-2.879801296778343e-17,0.04703047955904469
1.0,25,0,12,8,0.3965572242757387,-0.22895242018468864,-3.167781426456177e-17,0.05915175210409762
1.0,25,0,12,9,0.3965572242757387,-0.18732470742383622,-2.664114777723018e-17,0.18380411089960075
1.0,25,0,12,10,0.0,-0.04162771276085253,-5.036666487331608e-18,40.65448133515951
1.0,25,0,12,11,0.03605065675233998,-0.06244156914127885,-7.916467784109952e-18,15.542904655598571
1.0,25,0,12,12,0.0,0.0,0.0,62.240624999978806
1.0,25,0,12,13,0.03605065675233998,-0.02081385638042632,-2.8798012967783505e-18,40.94259554658877
1.0,25,0,12,14,0.03605065675233998,0.0208138563804261,2.1568651905532388e-18,41.06545117586683
1.0,25,0,13,0,0.28840525401871897,0.20813856380426227,2.229158801175764e-17,0.05118256855944344
1.0,25,0,13,1,0.32445591077105884,0.18732470742383606,1.9411786714979297e-17,0.021875000037628024
1.0,25,0,13,2,0.3605065675233987,0.16651085104340982,1.6531985418200956e-17,0.04401868390868491
1.0,25,0,13,3,0.32445591077105884,0.22895242018468848,2.4448453202310892e-17,0.06559776739910098
1.0,25,0,13,4,0.3605065675233987,0.20813856380426224,2.156865190553255e-17,0.0349531773385027
1.0,25,0,13,5,0.288405254018719,-0.20813856380426232,-2.8075076861558344e-17,0.0440163050249154
1.0,25,0,13,6,0.3244559107710589,-0.22895242018468864,-3.095487815833668e-17,0.06800805193422475
1.0,25,0,13,7,0.3244559107710589,-0.1873247074238361,-2.591821167100508e-17,0.027209708687214
1.0,25,0,13,8,0.3605065675233987,-0.20813856380426232,-2.879801296778342e-17,0.047030479559044526
1.0,25,0,13,9,0.3605065675233987,-0.1665108510434099,-2.376134648045183e-17,0.05522006874490674
1.0,25,0,13,10,-0.03605065675233998,-0.02081385638042621,-2.1568651905532573e-18,41.0654511758667
1.0,25,0,13,11,0.0,-0.04162771276085253,-5.0366664873316016e-18,40.65448133515951
1.0,25,0,13,12,-0.03605065675233998,0.02081385638042632,2.8798012967783505e-18,40.94259554658877
1.0,25,0,13,13,0.0,0.0,0.0,62.240624999978806
1.0,25,0,13,14,0.0,0.04162771276085242,5.036666487331589e-18,40.65448133515965
1.0,25,0,14,0,0.28840525401871897,0.16651085104340985,1.7254921524426052e-17,0.042187500123659315
1.0,25,0,14,1,0.32445591077105884,0.14569699466298364,1.4375120227647708e-17,0.023958907259911674
1.0,25,0,14,2,0.3605065675233987,0.1248831382825574,1.1495318930869366e-17,0.06729968248804621
1.0,25,0,14,3,0.32445591077105884,0.18732470742383606,1.9411786714979303e-17,0.021875000037628024
1.0,25,0,14,4,0.3605065675233987,0.16651085104340982,1.6531985418200962e-17,0.04401868390868491
1.0,25,0,14,5,0.288405254018719,-0.24976627656511474,-3.311174334888993e-17,0.19546574379005613
1.0,25,0,14,6,0.3244559107710589,-0.27058013294554106,-3.599154464566827e-17,0.13628261270672976
1.0,25,0,14,7,0.3244559107710589,-0.22895242018468853,-3.095487815833667e-17,0.06800805193422418
1.0,25,0,14,8,0.3605065675233987,-0.24976627656511474,-3.383467945511501e-17,0.0449157364857056
1.0,25,0,14,9,0.3605065675233987,-0.20813856380426232,-2.879801296778342e-17,0.047030479559044526
1.0,25,0,14,10,-0.03605065675233998,-0.06244156914127863,-7.193531677884846e-18,15.723408819798053
1.0,25,0,14,11,0.0,-0.08325542552170495,-1.0073332974663191e-17,8.877554893059418
1.0,25,0,14,12,-0.03605065675233998,-0.0208138563804261,-2.1568651905532388e-18,41.06545117586683
1.0,25,0,14,13,0.0,-0.04162771276085242,-5.036666487331589e-18,40.65448133515965
1.0,25,0,14,14,0.0,0.0,0.0,62.240624999978806
1.0,25,1,0,0,0.0,0.0,0.0,59.76875000001185
1.0,25,1,0,1,0.036050656752339885,-0.02081385638042621,-2.8798012967783443e-18,39.238285437675856
1.0,25,1,0,2,0.07210131350467976,-0.04162771276085245,-5.7596025935566855e-18,8.736601399522883
1.0,25,1,0,3,0.03605065675233987,0.02081385638042621,2.156865190553251e-18,39.52518706890143
1.0,25,1,0,4,0.07210131350467976,-2.7755575615628914e-17,-7.229361062250901e-19,15.3991448300294
1.0,25,1,0,5,5.551115123125783e-17,-0.4162771276085246,-5.0366664873315985e-17,0.2066478214949708
1.0,25,1,0,6,0.03605065675233994,-0.4370909839889509,-5.324646617009432e-17,0.10782031119147903
1.0,25,1,0,7,0.03605065675233993,-0.3954632712280984,-4.820979968276272e-17,0.10199491756459593
1.0,25,1,0,8,0.07210131350467978,-0.4162771276085246,-5.108960097954106e-17,0.11364749787504085
1.0,25,1,0,9,0.07210131350467978,-0.37464941484767217,-4.605293449220947e-17,0.1395222321402408
1.0,25,1,0,10,-0.32445591077105895,-0.22895242018468848,-2.4448453202310898e-17,0.07883338156865466
1.0,25,1,0,11,-0.28840525401871897,-0.2497662765651148,-2.7328254499089243e-17,0.2015625003323947
1.0,25,1,0,12,-0.32445591077105895,-0.18732470742383595,-1.941178671497929e-17,0.0785041260793589
1.0,25,1,0,13,-0.28840525401871897,-0.20813856380426227,-2.229158801175764e-17,0.13942708168046486
1.0,25,1,0,14,-0.28840525401871897,-0.16651085104340985,-1.7254921524426052e-17,0.054687499934101214
1.0,25,1,1,0,-0.036050656752339885,0.02081385638042621,2.8798012967783443e-18,39.238285437675856
1.0,25,1,1,1,0.0,0.0,0.0,59.76875000001185
1.0,25,1,1,2,0.03605065675233987,-0.020813856380426238,-2.8798012967783412e-18,39.238285437675856
1.0,25,1,1,3,-1.3877787807814457e-17,0.04162771276085242,5.0366664873315954e-18,39.37945878877059
1.0,25,1,1,4,0.03605065675233987,0.020813856380426182,2.156865190553254e-18,39.525187068901445
1.0,25,1,1,5,-0.03605065675233983,-0.3954632712280984,-4.748686357653764e-17,0.10992314291246023
1.0,25,1,1,6,5.551115123125783e-17,-0.4162771276085247,-5.036666487331598e-17,0.20664782149497157
1.0,25,1,1,7,4.163336342344337e-17,-0.37464941484767217,-4.532999838598438e-17,0.05937499998959859
1.0,25,1,1,8,0.0360506567523399,-0.3954632712280984,-4.8209799682762715e-17,0.10199491756459592
1.0,25,1,1,9,0.0360506567523399,-0.35383555846724596,-4.3173133195431126e-17,0.08522428771216879
1.0,25,1,1,10,-0.3605065675233988,-0.20813856380426227,-2.1568651905532554e-17,0.07179108517225381
1.0,25,1,1,11,-0.32445591077105884,-0.2289524201846886,-2.4448453202310898e-17,0.0788333815686548
1.0,25,1,1,12,-0.3605065675233988,-0.16651085104340974,-1.6531985418200946e-17,0.0814973026656852
1.0,25,1,1,13,-0.32445591077105884,-0.18732470742383606,-1.9411786714979297e-17,0.07850412607935883
1.0,25,1,1,14,-0.32445591077105884,-0.14569699466298364,-1.4375120227647708e-17,0.07650360915675318
1.0,25,1,2,0,-0.07210131350467976,0.04162771276085245,5.7596025935566855e-18,8.736601399522883
1.0,25,1,2,1,-0.03605065675233987,0.020813856380426238,2.8798012967783412e-18,39.238285437675856
1.0,25,1,2,2,0.0,0.0,0.0,59.76875000001185
1.0,25,1,2,3,-0.036050656752339885,0.06244156914127866,7.916467784109937e-18,15.243205351929467
1.0,25,1,2,4,0.0,0.04162771276085242,5.0366664873315954e-18,39.37945878877058
1.0,25,1,2,5,-0.0721013135046797,-0.3746494148476721,-4.46070622797593e-17,0.19912159741829338
1.0,25,1,2,6,-0.036050656752339816,-0.39546327122809843,-4.748686357653764e-17,0.10992314291246033
1.0,25,1,2,7,-0.03605065675233983,-0.3538355584672459,-4.245019708920604e-17,0.12819381183889414
1.0,25,1,2,8,2.7755575615628914e-17,-0.3746494148476721,-4.532999838598438e-17,0.059374999989598595
1.0,25,1,2,9,2.7755575615628914e-17,-0.3330217020868197,-4.029333189865279e-17,0.13906250027203243
1.0,25,1,2,10,-0.3965572242757387,-0.18732470742383603,-1.8688850608754213e-17,0.06459359656973497
1.0,25,1,2,11,-0.3605065675233987,-0.20813856380426235,-2.1568651905532557e-17,0.07179108517225376
1.0,25,1,2,12,-0.3965572242757387,-0.1456969946629835,-1.3652184121422605e-17,0.07931094212516525
1.0,25,1,2,13,-0.3605065675233987,-0.16651085104340982,-1.6531985418200956e-17,0.08149730266568533
1.0,25,1,2,14,-0.3605065675233987,-0.1248831382825574,-1.1495318930869366e-17,0.11516526768838027
1.0,25,1,3,0,-0.03605065675233987,-0.02081385638042621,-2.156865190553251e-18,39.52518706890143
1.0,25,1,3,1,1.3877787807814457e-17,-0.04162771276085242,-5.0366664873315954e-18,39.37945878877059
1.0,25,1,3,2,0.036050656752339885,-0.06244156914127866,-7.916467784109937e-18,15.243205351929467
1.0,25,1,3,3,0.0,0.0,0.0,59.76875000001185
1.0,25,1,3,4,0.036050656752339885,-0.020813856380426238,-2.8798012967783412e-18,39.238285437675856
1.0,25,1,3,5,-0.036050656752339816,-0.4370909839889508,-5.2523530063869236e-17,0.42798601582378104
1.0,25,1,3,6,6.938893903907228e-17,-0.4579048403693771,-5.5403331360647574e-17,0.2336248339299626
1.0,25,1,3,7,5.551115123125783e-17,-0.4162771276085246,-5.036666487331597e-17,0.2066478214949708
1.0,25,1,3,8,0.03605065675233991,-0.4370909839889508,-5.324646617009431e-17,0.10782031119147936
1.0,25,1,3,9,0.03605065675233991,-0.3954632712280984,-4.820979968276272e-17,0.10199491756459592
1.0,25,1,3,10,-0.3605065675233988,-0.2497662765651147,-2.660531839286415e-17,0.0693763938266445
1.0,25,1,3,11,-0.32445591077105884,-0.270580132945541,-2.9485119689642494e-17,0.07112254173881183
1.0,25,1,3,12,-0.3605065675233988,-0.20813856380426216,-2.1568651905532542e-17,0.07179108517225377
1.0,25,1,3,13,-0.32445591077105884,-0.22895242018468848,-2.4448453202310892e-17,0.0788333815686549
1.0,25,1,3,14,-0.32445591077105884,-0.18732470742383606,-1.9411786714979303e-17,0.07850412607935883
1.0,25,1,4,0,-0.07210131350467976,2.7755575615628914e-17,7.229361062250901e-19,15.3991448300294
1.0,25,1,4,1,-0.03605065675233987,-0.020813856380426182,-2.156865190553254e-18,39.525187068901445
1.0,25,1,4,2,0.0,-0.04162771276085242,-5.0366664873315954e-18,39.37945878877058
1.0,25,1,4,3,-0.036050656752339885,0.020813856380426238,2.8798012967783412e-18,39.238285437675856
1.0,25,1,4,4,0.0,0.0,0.0,59.76875000001185
1.0,25,1,4,5,-0.0721013135046797,-0.41627712760852453,-4.964372876709089e-17,0.145390523841667
1.0,25,1,4,6,-0.036050656752339816,-0.43709098398895085,-5.252353006386923e-17,0.42798601582378115
